Exchange,Symbol,ISIN,Security ID,SecurityType,Security Desc.,Expiry/Series,round,OptionType,StrikePrice,Multiplier,TickSize,TradingUnitFactor,Divider,BaseCurrency,SettleCurrency
MT5_MCX_ Future,NATURALGAS,,NATURALGASNOV,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASOCT,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASSEP,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERDEC,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERJUL,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMAPR,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERMAR,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMAUG,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERMAY,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMFEB,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROJUN,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROJUL,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICRONOV,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROSEP,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROAUG,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROOCT,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICRODEC,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMJUL,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMJUN,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMMAY,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMNOV,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMSEP,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERSEP,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCAPR,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCAUG,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCDEC,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCFEB,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCJAN,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCJUL,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCJUN,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCMAR,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCMAY,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIAPR,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIAUG,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIDEC,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIFEB,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIJAN,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIJUL,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIJUN,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIMAR,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIMAY,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMININOV,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIOCT,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINISEP,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCNOV,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCOCT,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCSEP,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
